Cancer;Loss;Accuracy;Precision;Recall;AUC;F1 Score
Breast Cancer;46.46950912475586;0.380952388048172;0.38655462861061096;0.3650793731212616;0.7991979718208313;0.37551016156695416
Cervical Cancer;115.7939453125;0.3137255012989044;0.31111112236976624;0.27450981736183167;0.7888837456703186;0.29166662939603727
Hepatobiliary Cancer;19.292890548706055;0.7866666913032532;0.8309859037399292;0.7866666913032532;0.966852605342865;0.8082191355633148
Colorectal Cancer;26.611740112304688;0.650943398475647;0.6764705777168274;0.650943398475647;0.9062570929527283;0.6634614845894194
Adrenocortical Carcinoma;279.4570617675781;0.7333333492279053;0.7333333492279053;0.7333333492279053;0.8607069849967957;0.7333332992279087
Bladder Cancer;75.93517303466797;0.3855421543121338;0.3866666555404663;0.34939759969711304;0.7708731293678284;0.3670885578616099
Esophagogastric Cancer;29.986051559448242;0.5041322112083435;0.522522509098053;0.4793388545513153;0.8847445845603943;0.4999999502446136
Glioma;30.5118465423584;0.761904776096344;0.774193525314331;0.761904776096344;0.9264470934867859;0.7679999458604415
Head and Neck Cancer;55.26143264770508;0.3645833432674408;0.3888888955116272;0.3645833432674408;0.8229808211326599;0.3763440444673968
Renal Cell Carcinoma;9.2608060836792;0.8534482717514038;0.8584070801734924;0.8362069129943848;0.9664022922515869;0.8471615307560054
Leukemia;1169.4830322265625;0.2857142984867096;0.25;0.1428571492433548;0.6502783298492432;0.1818181407095051
Non-Hodgkin Lymphoma;703.635009765625;0.30000001192092896;0.3333333432674408;0.30000001192092896;0.7604544758796692;0.31578943488508043
Non-Small Cell Lung Cancer;12.934930801391602;0.620192289352417;0.6305418610572815;0.6153846383094788;0.9112120866775513;0.6228710026785432
Mesothelioma;1140.4888916015625;0.2857142984867096;0.2857142984867096;0.2857142984867096;0.6688313484191895;0.2857142484867184
Ovarian Epithelial Tumor;169.04278564453125;0.5333333611488342;0.5925925970077515;0.5333333611488342;0.8322726488113403;0.5614034763020056
Pancreatic Cancer;315.60302734375;0.27272728085517883;0.2380952388048172;0.22727273404598236;0.7475112676620483;0.23255809344639233
Pheochromocytoma;209.20541381835938;0.625;0.625;0.625;0.9286220669746399;0.624999950000004
Prostate Cancer;68.48202514648438;0.6590909361839294;0.707317054271698;0.6590909361839294;0.9133288264274597;0.6823528969641028
Soft Tissue Sarcoma;257.6935119628906;0.2857142984867096;0.29629629850387573;0.2857142984867096;0.7754812240600586;0.29090904861019407
Thyroid Cancer;25.922138214111328;0.8399999737739563;0.9090909361839294;0.800000011920929;0.9775272011756897;0.8510637986089684
Thymic Tumor;1273.3485107421875;0.0;0.0;0.0;0.7421150207519531;0.0
Endometrial Cancer;38.72871017456055;0.5204081535339355;0.52173912525177;0.4897959232330322;0.868461549282074;0.5052631081031086
Ocular Melanoma;3066.818359375;0.0;0.0;0.0;0.6060606241226196;0.0
